course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_location,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section,short_name,full_name,description,raw_precoreqs,offer_frequency,prerequisites,corequisites,school
EFF COMM FOR CLASS PEDAGOGY,LEC,0,MR,2:30PM,4:20PM,Staff,,0,0,0,ADMN,2021-08-28,2021-12-30,FALL 2021,50261,1010,01,ADMN-1010,,,,,,,Other
EFF COMM FOR CLASS PEDAGOGY,LEC,0,WF,8:00AM,9:50AM,Staff,,0,0,0,ADMN,2021-08-28,2021-12-30,FALL 2021,53647,1010,02,ADMN-1010,,,,,,,Other
STUDENT SUCCESS LABS,LEC,0,T,4:00PM,4:50PM,Trzepacz,,130,0,130,ADMN,2021-08-28,2021-12-30,FALL 2021,53681,1824,01,ADMN-1824,,,,,,,Other
FIRST YEAR SEMINAR,LEC,0,W,4:00PM,4:50PM,Steigler,,50,0,50,ADMN,2021-08-28,2021-12-30,FALL 2021,51016,1961,01,ADMN-1961,,,,,,,Other
FIRST YEAR SEMINAR,LEC,0,W,1:00PM,1:50PM,Steigler,,6,0,6,ADMN,2021-08-28,2021-12-30,FALL 2021,53639,1961,02,ADMN-1961,,,,,,,Other
ORIENTATION SEM FOR GRADS,LEC,0,,,,Grega,,550,0,550,ADMN,2021-08-28,2021-12-30,FALL 2021,51867,6700,01,ADMN-6700,,,,,,,Other
TA TRAINING SEMINAR,LEC,0,,,,Dunn,,500,0,500,ADMN,2021-08-28,2021-12-30,FALL 2021,51868,6800,01,ADMN-6800,,,,,,,Other
THE ETHOS OF ARCHITECTURE,LEC,3,MR,10:10AM,11:30AM,Bell,,70,0,70,ARCH,2021-08-28,2021-12-30,FALL 2021,52458,2150,01,ARCH-2150,The Ethos of Architecture,"This course will examine the spectrum of architectural phenomena and ideas without a specific chronology using examples ranging from antiquity to the contemporary world in western and non-western civilizations and produced in both vernacular and disciplinary cultures. An essential part of this course is to stimulate students' curiosity about architecture and the larger world and introduce them to key issues of architecture regarding space, form, critique, technology, aesthetics, societal and cultural contexts, etc. Particular emphasis will be given to the emergence of modernism in architecture. Crucial to the goals of this course is to encourage students to pursue and develop their own unique vision and voice in architecture throughout their education and practice. Fundamental to this process is making students aware of the necessity to challenge their own subjectivities, biases, and presuppositions.",Corequisite: ARCH 2160 Architectural Media.,Fall term annually.,[],['ARCH-2160'],Architecture
ARCHITECTURAL MEDIA,LEC,2,R,12:20PM,2:10PM,Titus,,69,0,69,ARCH,2021-08-28,2021-12-30,FALL 2021,52459,2160,01,ARCH-2160,Architectural Media,"This course continues the inquiry begun in ARCH 2150 The Ethos of Architecture and focuses especially on the implications that various media and means of representation have on the breadth of concerns within the history, theory, and critical practices of architecture and especially the generation of architecture.",Corequisite ARCH 2150 The Ethos of Architecture.,Fall term annually.,[],['ARCH-2150'],Architecture
ARCHITECTURAL MEDIA,LEC,2,R,12:20PM,2:10PM,Liu,,25,0,25,ARCH,2021-08-28,2021-12-30,FALL 2021,54539,2160,02,ARCH-2160,Architectural Media,"This course continues the inquiry begun in ARCH 2150 The Ethos of Architecture and focuses especially on the implications that various media and means of representation have on the breadth of concerns within the history, theory, and critical practices of architecture and especially the generation of architecture.",Corequisite ARCH 2150 The Ethos of Architecture.,Fall term annually.,[],['ARCH-2150'],Architecture
ARCHITECTURAL MEDIA,LEC,2,R,12:20PM,2:10PM,Dayem,,25,0,25,ARCH,2021-08-28,2021-12-30,FALL 2021,54540,2160,03,ARCH-2160,Architectural Media,"This course continues the inquiry begun in ARCH 2150 The Ethos of Architecture and focuses especially on the implications that various media and means of representation have on the breadth of concerns within the history, theory, and critical practices of architecture and especially the generation of architecture.",Corequisite ARCH 2150 The Ethos of Architecture.,Fall term annually.,[],['ARCH-2150'],Architecture
STRUCTURES 1,LEC,3,TF,10:10AM,11:30AM,Pilla,,80,0,80,ARCH,2021-08-28,2021-12-30,FALL 2021,50382,2330,01,ARCH-2330,Structures 1,"Introduction to Structures introduces the student of Architecture to the principles of structural mechanics and their application to basic architectural structures comprised primarily of wood. The fundamentals of statics are presented in order to gain an understanding of the way in which external forces produce internal stresses in individual members and, in essence, flow through the building system to be resolved at the foundation level. The principles of strength of materials are studied to understand how particular structural materials and configurations manage to resist these forces without unacceptable distortions, or even failure. Wood structural properties are studied in all their complexity as a means to internalize the more theoretical topics broached. Through in-class presentations, reading, homework and project work, computer lab, field trips, and case studies, the student will be aided in developing this intuitive (while practical) understanding. It is recognized that intuitions of building technologies are not acquired quickly but result from much study, observation, and practice. Introduction to Structures makes use of the several approaches above to ensure that the beginning student is provided with a broad, solid base for future structural investigations. WebCT will be used to expand the student's access to course materials and allow for a measure of distance learning. Sustainability: The following notions are introduced as important attributes of sustainable structures and construction: durability and service life and life cycle cost.",Prerequisite: ARCH 2510 except M.Arch. students.,Fall term annually.,['ARCH-2510'],[],Architecture
CONSTRUCTION SYSTEMS,LEC,2,W,12:20PM,2:10PM,Rosenberg,,73,0,73,ARCH,2021-08-28,2021-12-30,FALL 2021,50986,2350,01,ARCH-2350,Construction Systems,"Construction Systems centers on the development of a technical knowledge of, sensibility to, and intuition for the process by which an architectural design is realized in built form. The interdependence among building materials, acoustic qualities, enclosure systems, interior, finish, and other systems is investigated, with an emphasis on the broader architectural design endeavor. Drawing as a means of understanding forms the basis for a semester-long project to be done in small groups. Case studies will center on concepts and systems that have not yet found their way into mainstream practice. The course approach will involve in-class presentations, project work, field trips, and case studies. WebCT will be used to expand the student's access to course materials and allow for a measure of distance learning. Sustainability: The notion that design intentions can be nullified through incorrect construction is stressed. The importance of proper detailing, construction, and maintenance to accomplish lasting and efficient enclosures is highlighted. Skills to diagnose and treat incorrect construction are developed.",Prerequisite: ARCH 2510 except M.Arch. students.,Fall term annually.,['ARCH-2510'],[],Architecture
CONSTRUCTION SYSTEMS,LEC,2,W,12:20PM,2:10PM,Combs,,40,0,40,ARCH,2021-08-28,2021-12-30,FALL 2021,54547,2350,02,ARCH-2350,Construction Systems,"Construction Systems centers on the development of a technical knowledge of, sensibility to, and intuition for the process by which an architectural design is realized in built form. The interdependence among building materials, acoustic qualities, enclosure systems, interior, finish, and other systems is investigated, with an emphasis on the broader architectural design endeavor. Drawing as a means of understanding forms the basis for a semester-long project to be done in small groups. Case studies will center on concepts and systems that have not yet found their way into mainstream practice. The course approach will involve in-class presentations, project work, field trips, and case studies. WebCT will be used to expand the student's access to course materials and allow for a measure of distance learning. Sustainability: The notion that design intentions can be nullified through incorrect construction is stressed. The importance of proper detailing, construction, and maintenance to accomplish lasting and efficient enclosures is highlighted. Skills to diagnose and treat incorrect construction are developed.",Prerequisite: ARCH 2510 except M.Arch. students.,Fall term annually.,['ARCH-2510'],[],Architecture
MATERIALS AND DESIGN,,2,W,10:10AM,12:00PM,Rosenberg,,90,0,90,ARCH,2021-08-28,2021-12-30,FALL 2021,52460,2510,01,ARCH-2510,Materials and Design,"This course establishes an understanding of the most common materials, their properties and resulting uses, and the implications of their uses in the larger context of material life cycles. The structural makeup of metals, ceramics, polymers, and composite materials is discovered and their resulting properties, costs, and life cycle consequences are clarified. An understanding of basic mechanical properties is established hands on by conducting tension, compression, and 3-point bending tests (mse-lab). Physical performance of material constructs as synergy between form and material properties is further illustrated. Experiments are conducted that introduce such major concepts as structural loading, properties of sections, and resulting system performance. Sustainability: The concept of life cycles is introduced; material and energy flows are tracked throughout the entire material life cycle. This will be accomplished alongside introducing major material groupings (metals, polymers, ceramics, and composites). Students come to realize that environmental concerns are directly related to structural composition and material availability. Consequences of resource extraction, distribution, manipulation, use, and disposal, reuse or recycle are addressed at both local and global scales. Selected field trips to materials extraction, processing, manufacturing, disposal, and recycling facilities are aimed to give physical meaning to the concept of life cycle.",,Fall and summer terms annually.,[],[],Architecture
MATERIALS AND DESIGN,LEC,2,W,10:10AM,12:00PM,Draper,,37,0,37,ARCH,2021-08-28,2021-12-30,FALL 2021,54554,2510,02,ARCH-2510,Materials and Design,"This course establishes an understanding of the most common materials, their properties and resulting uses, and the implications of their uses in the larger context of material life cycles. The structural makeup of metals, ceramics, polymers, and composite materials is discovered and their resulting properties, costs, and life cycle consequences are clarified. An understanding of basic mechanical properties is established hands on by conducting tension, compression, and 3-point bending tests (mse-lab). Physical performance of material constructs as synergy between form and material properties is further illustrated. Experiments are conducted that introduce such major concepts as structural loading, properties of sections, and resulting system performance. Sustainability: The concept of life cycles is introduced; material and energy flows are tracked throughout the entire material life cycle. This will be accomplished alongside introducing major material groupings (metals, polymers, ceramics, and composites). Students come to realize that environmental concerns are directly related to structural composition and material availability. Consequences of resource extraction, distribution, manipulation, use, and disposal, reuse or recycle are addressed at both local and global scales. Selected field trips to materials extraction, processing, manufacturing, disposal, and recycling facilities are aimed to give physical meaning to the concept of life cycle.",,Fall and summer terms annually.,[],[],Architecture
