course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_location,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section,short_name,full_name,description,raw_precoreqs,offer_frequency,prerequisites,corequisites,school
STUDENT SUCCESS LABS,LEC,0,T,4:00PM,4:50PM,Trzepacz,,130,1,129,ADMN,2023-08-28,2023-12-20,FALL 2023,63285,1824,01,ADMN-1824,,,,,,,Other
FIRST YEAR SEMINAR,LEC,0,W,4:00PM,4:50PM,Steigler,,50,0,50,ADMN,2023-08-28,2023-12-20,FALL 2023,60896,1961,01,ADMN-1961,,,,,,,Other
FIRST YEAR SEMINAR,LEC,0,W,1:00PM,1:50PM,Steigler,,20,0,20,ADMN,2023-08-28,2023-12-20,FALL 2023,63256,1961,02,ADMN-1961,,,,,,,Other
ORIENTATION SEM FOR GRADS,LEC,0,,,,Grega,,550,0,550,ADMN,2023-08-28,2023-12-20,FALL 2023,61710,6700,01,ADMN-6700,,,,,,,Other
TA TRAINING SEMINAR,LEC,0,,,,Mullet/Dunn,,500,0,500,ADMN,2023-08-28,2023-12-20,FALL 2023,61711,6800,01,ADMN-6800,,,,,,,Other
THE ETHOS OF ARCHITECTURE,LEC,3,MR,10:00AM,11:20AM,Bell,,90,2,88,ARCH,2023-08-28,2023-12-20,FALL 2023,62272,2150,01,ARCH-2150,The Ethos of Architecture,"This course will examine the spectrum of architectural phenomena and ideas without a specific chronology using examples ranging from antiquity to the contemporary world in western and non-western civilizations and produced in both vernacular and disciplinary cultures. An essential part of this course is to stimulate students’ curiosity about architecture and the larger world and introduce them to key issues of architecture regarding space, form, critique, technology, aesthetics, societal and cultural contexts, etc. Particular emphasis will be given to the emergence of modernism in architecture. Crucial to the goals of this course is to encourage students to pursue and develop their own unique vision and voice in architecture throughout their education and practice. Fundamental to this process is making students aware of the necessity to challenge their own subjectivities, biases, and presuppositions.",,,[],[],Architecture
ARCHITECTURAL MEDIA,LEC,2,R,12:00PM,1:50PM,Titus,,75,2,73,ARCH,2023-08-28,2023-12-20,FALL 2023,64719,2160,01,ARCH-2160,Architectural Media,"This course continues the inquiry begun in ARCH 2150 The Ethos of Architecture and focuses especially on the implications that various media and means of representation have on the breadth of concerns within the history, theory, and critical practices of architecture and especially the generation of architecture.",,,[],[],Architecture
ARCHITECTURAL MEDIA,LEC,2,R,12:00PM,1:50PM,Staff,,30,0,30,ARCH,2023-08-28,2023-12-20,FALL 2023,64720,2160,02,ARCH-2160,Architectural Media,"This course continues the inquiry begun in ARCH 2150 The Ethos of Architecture and focuses especially on the implications that various media and means of representation have on the breadth of concerns within the history, theory, and critical practices of architecture and especially the generation of architecture.",,,[],[],Architecture
ARCHITECTURAL MEDIA,LEC,2,R,12:00PM,1:50PM,Staff,,30,0,30,ARCH,2023-08-28,2023-12-20,FALL 2023,64721,2160,03,ARCH-2160,Architectural Media,"This course continues the inquiry begun in ARCH 2150 The Ethos of Architecture and focuses especially on the implications that various media and means of representation have on the breadth of concerns within the history, theory, and critical practices of architecture and especially the generation of architecture.",,,[],[],Architecture
STRUCTURES 1,LEC,3,TF,10:00AM,11:20AM,Den Herder,,90,55,35,ARCH,2023-08-28,2023-12-20,FALL 2023,60286,2330,01,ARCH-2330,Structures 1,"Introduction to Structures introduces the student of Architecture to the principles of structural mechanics and their application to basic architectural structures comprised primarily of wood. The fundamentals of statics are presented in order to gain an understanding of the way in which external forces produce internal stresses in individual members and, in essence, flow through the building system to be resolved at the foundation level. The principles of strength of materials are studied to understand how particular structural materials and configurations manage to resist these forces without unacceptable distortions, or even failure. Wood structural properties are studied in all their complexity as a means to internalize the more theoretical topics broached. Through in-class presentations, reading, homework and project work, computer lab, field trips, and case studies, the student will be aided in developing this intuitive (while practical) understanding. It is recognized that intuitions of building technologies are not acquired quickly but result from much study, observation, and practice. Introduction to Structures makes use of the several approaches above to ensure that the beginning student is provided with a broad, solid base for future structural investigations. WebCT will be used to expand the student’s access to course materials and allow for a measure of distance learning. Sustainability: The following notions are introduced as important attributes of sustainable structures and construction: durability and service life and life cycle cost.",,,['ARCH-2510'],[],Architecture
